Model,LogForm,ScoreType,ScoreValue,max_depth,learning_rate,n_estimators,columns
XGBoost,FALSE,R2 Score,0.964,7,0.2,200,"['BedroomsTotal/ClosePrice', 'BathroomsTotalInteger/ClosePrice', 'LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'DistrictID', 'BathroomsTotalInteger/BedroomsTotal', 'PostalCode', 'AvgAreaLot', 'BedroomsTotal', 'ClosePrice/DaysOnMarket', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket']"
XGBoost,TRUE,R2 Score,0.999,6,0.3,200,"['BedroomsTotal/ClosePrice', 'AvgAreaCost', 'BathroomsTotalInteger/ClosePrice', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'ClosePrice/DaysOnMarket', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'LotSizeSquareFeet/DaysOnMarket', 'YearBuilt', 'DaysOnMarket', 'ViewYN_False']"
Gradient Boosting Regressor,FALSE,R2 Score,0.9928,3,0.25,200,"['BedroomsTotal/ClosePrice', 'BathroomsTotalInteger/ClosePrice', 'LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'PostalCode', 'BathroomsTotalInteger/BedroomsTotal', 'DistrictID', 'AvgAreaLot', 'BedroomsTotal', 'ClosePrice/DaysOnMarket']"
Gradient Boosting Regressor,TRUE,R2 Score,0.9998,6,0.25,150,"['BedroomsTotal/ClosePrice', 'AvgAreaCost', 'BathroomsTotalInteger/ClosePrice', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'LivingArea', 'BathroomsTotalInteger', 'AvgAreaLot', 'ClosePrice/DaysOnMarket', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal']"
LightGBM,FALSE,R2 Score,0.9604,5,0.5,200,"['BedroomsTotal/ClosePrice', 'BathroomsTotalInteger/ClosePrice', 'LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'DistrictID', 'BathroomsTotalInteger/BedroomsTotal', 'PostalCode', 'AvgAreaLot', 'BedroomsTotal', 'ClosePrice/DaysOnMarket', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'LotSizeSquareFeet/DaysOnMarket', 'SaleMonth', 'NewConstructionYN_True']"
LightGBM,TRUE,R2 Score,0.999,5,0.5,200,"['BedroomsTotal/ClosePrice', 'AvgAreaCost', 'BathroomsTotalInteger/ClosePrice', 'DistrictID', 'PostalCode', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'ClosePrice/DaysOnMarket', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True']"
Histogram-based Gradient Boosting Regressor,FALSE,R2 Score,0.9641,5,0.75,,"['BedroomsTotal/ClosePrice', 'AvgAreaCost', 'BathroomsTotalInteger/ClosePrice', 'PostalCode', 'DistrictID', 'AvgLivingArea', 'LivingArea', 'AvgAreaLot', 'BathroomsTotalInteger', 'ClosePrice/DaysOnMarket', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket', 'PoolPrivateYN_False', 'FireplaceYN_False']"
Histogram-based Gradient Boosting Regressor,TRUE,R2 Score,0.9986,6,0.25,,"['BedroomsTotal/ClosePrice', 'BathroomsTotalInteger/ClosePrice', 'LivingArea', 'AvgAreaCost', 'BathroomsTotalInteger', 'AvgLivingArea', 'BathroomsTotalInteger/BedroomsTotal', 'PostalCode', 'DistrictID', 'AvgAreaLot', 'BedroomsTotal', 'ClosePrice/DaysOnMarket', 'LotSizeSquareFeet', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LivingArea/DaysOnMarket', 'LivingArea/LotSizeSquareFeet', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'LotSizeSquareFeet/DaysOnMarket', 'SaleMonth', 'DaysOnMarket', 'NewConstructionYN_True']"
