Model,LogForm,ScoreType,ScoreValue,max_depth,learning_rate,n_estimators,columns
Linear Regression,False,R2 Score,0.7109652725446679,,,,"['AvgAreaCost', 'LivingArea', 'BathroomsTotalInteger', 'AvgLivingArea', 'BedroomsTotal', 'BathroomsTotalInteger/BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'PostalCode', 'LivingArea/DaysOnMarket', 'ViewYN_True', 'DistrictID', 'ViewYN_False', 'DaysOnMarket', 'AvgAreaLot', 'NewConstructionYN_True', 'YearBuilt', 'SaleMonth']"
Linear Regression,True,R2 Score,0.9014401313650969,,,,"['AvgAreaCost', 'LivingArea', 'BathroomsTotalInteger', 'AvgLivingArea', 'BedroomsTotal', 'BathroomsTotalInteger/BedroomsTotal', 'PoolPrivateYN_False', 'LivingArea/DaysOnMarket', 'FireplaceYN_False', 'FireplaceYN_True', 'AvgAreaLot', 'LivingArea/LotSizeSquareFeet', 'DistrictID', 'PoolPrivateYN_True', 'PostalCode', 'LotSizeSquareFeet/DaysOnMarket', 'LotSizeSquareFeet', 'DaysOnMarket', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'NewConstructionYN_False']"
Decision Tree Regressor,False,R2 Score,0.7089856433127484,,,,"['AvgAreaCost', 'AvgLivingArea', 'AvgAreaLot', 'PostalCode', 'BathroomsTotalInteger', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'SaleMonth', 'NewConstructionYN_True', 'NewConstructionYN_False', 'DaysOnMarket', 'LotSizeSquareFeet']"
Decision Tree Regressor,True,R2 Score,0.8609477422715637,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'SaleMonth', 'NewConstructionYN_False', 'DaysOnMarket', 'LotSizeSquareFeet', 'LivingArea/DaysOnMarket']"
Random Forest Regressor,False,R2 Score,0.8098721489615639,,,,"['AvgAreaCost', 'AvgLivingArea', 'PostalCode', 'AvgAreaLot', 'BathroomsTotalInteger', 'LivingArea', 'DistrictID', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_True', 'ViewYN_False', 'SaleMonth', 'NewConstructionYN_True', 'NewConstructionYN_False', 'DaysOnMarket', 'LotSizeSquareFeet']"
Random Forest Regressor,True,R2 Score,0.9264331316842542,,,,"['AvgAreaCost', 'PostalCode', 'AvgLivingArea', 'AvgAreaLot', 'DistrictID', 'LivingArea', 'BathroomsTotalInteger', 'BathroomsTotalInteger/BedroomsTotal', 'BedroomsTotal', 'PoolPrivateYN_False', 'FireplaceYN_False', 'FireplaceYN_True', 'LotSizeSquareFeet', 'PoolPrivateYN_True', 'YearBuilt', 'ViewYN_False', 'NewConstructionYN_True', 'ViewYN_True', 'SaleMonth', 'NewConstructionYN_False', 'DaysOnMarket', 'LivingArea/DaysOnMarket', 'LotSizeSquareFeet/DaysOnMarket']"
