ListPrice,ListingKey,ClosePrice,Latitude,Longitude,PostalCode,CloseDate,BedroomsTotal,BathroomsTotalInteger,LivingArea,LotSizeSquareFeet,DaysOnMarket,Residential
1075000.0,1127173763,1035000.0,33.05577516,-116.7741722,92065,2026-04-02,3.0,3.0,2806.0,871200.0,185,1
1900000.0,1127166479,1860000.0,33.795322,-118.364509,90274,2026-04-13,6.0,4.0,2947.0,23229.0,78,1
589000.0,1127165651,600000.0,34.012325,-118.303114,90062,2026-04-01,2.0,2.0,1040.0,5399.0,8,1
1250000.0,1127042410,1185000.0,33.124185,-117.196973,92078,2026-04-07,2.0,2.0,1640.0,6969.6,217,1
1675000.0,1127037875,1650000.0,33.64663,-117.90616599999998,92627,2026-04-15,2.0,2.0,1323.0,5100.0,216,1
750000.0,1127033504,758000.0,34.009864,-118.146821,90022,2026-04-23,4.0,2.0,2080.0,5576.0,186,1
574000.0,1127012098,555000.0,37.228411,-119.745413,93614,2026-04-02,3.0,4.0,2288.0,108900.0,175,1
800000.0,1126965402,745000.0,37.98907682,-121.73361513,94561,2026-04-15,5.0,4.0,2770.0,25069.0,211,1
749900.0,1126877563,694942.0,37.8066983,-121.3450241,95330,2026-04-24,4.0,3.0,2373.0,5656.0,212,1
799000.0,1126870413,800000.0,33.86618,-117.974746,92833,2026-04-01,3.0,1.0,919.0,5900.0,124,1
2086000.0,1126863994,2040000.0,33.998171,-117.738109,91709,2026-04-28,5.0,5.0,4304.0,11500.0,182,1
239000.0,1126861562,200000.0,39.550793,-121.765579,95958,2026-04-24,2.0,1.0,784.0,17424.0,181,1
1344000.0,1126851831,1300000.0,32.89419578,-116.93930681,92040,2026-04-20,6.0,5.0,4455.0,58806.0,215,1
770000.0,1126851487,775000.0,34.083543,-117.739837,91767,2026-04-08,3.0,2.0,1430.0,8362.0,131,1
19995000.0,1126784867,16200000.0,33.668027,-116.243755,92253,2026-04-24,7.0,14.0,11316.0,56628.0,220,1
550000.0,1126743022,682000.0,34.140262,-117.913448,91702,2026-04-21,3.0,2.0,1500.0,9820.0,1,1
279900.0,1126723755,279000.0,36.974871,-120.059382,93638,2026-04-23,2.0,1.0,896.0,7405.0,76,1
498888.0,1126717527,495000.0,34.495179,-117.271653,92395,2026-04-30,3.0,2.0,1960.0,7200.0,233,1
532000.0,1126692935,532000.0,34.492245000000004,-117.22361200000002,92307,2026-04-15,4.0,2.0,2654.0,25020.0,204,1
675000.0,1126684080,685000.0,33.924944,-118.297571,90044,2026-04-30,3.0,2.0,1312.0,5003.0,181,1
499000.0,1126667380,490000.0,34.167031,-116.437378,92284,2026-04-03,2.0,1.0,900.0,217800.0,209,1
519900.0,1126603037,522000.0,34.040615,-117.401417,92316,2026-04-09,3.0,2.0,917.0,7900.0,188,1
565000.0,1126573315,555000.0,37.36821546,-119.6997904,93601,2026-04-10,4.0,3.0,2622.0,91912.0,537,1
519400.0,1126563880,520000.0,34.00432,-117.410233,92509,2026-04-27,3.0,2.0,1300.0,7841.0,188,1
390000.0,1126551494,390000.0,33.738387,-116.967586,92543,2026-04-20,2.0,1.0,1004.0,9148.0,140,1
490890.0,1126456194,488334.0,34.367437,-117.279778,92345,2026-04-14,4.0,3.0,2427.0,6900.0,207,1
4995000.0,1126222120,4800000.0,34.140443,-118.438497,91423,2026-04-15,6.0,7.0,4900.0,111327.0,204,1
999000.0,1126171202,950000.0,37.82681959,-122.18718229,94611,2026-04-03,2.0,2.0,1568.0,4500.0,206,1
1250000.0,1126057084,1200000.0,34.159896,-118.362289,91601,2026-04-30,3.0,2.0,1576.0,6718.0,154,1
1499000.0,1126054479,1490000.0,33.66666,-117.590393,92679,2026-04-03,4.0,3.0,1888.0,18000.0,106,1
379000.0,1126048567,350000.0,33.978337,-116.503561,92240,2026-04-27,3.0,2.0,1634.0,6970.0,213,1
510000.0,1126031918,500000.0,34.695361,-118.15455,93534,2026-04-29,3.0,3.0,2880.0,13302.0,178,1
8800000.0,1126027199,7500000.0,37.4458259,-122.281041,94062,2026-04-27,4.0,5.0,5555.0,135474.0,248,1
1100000.0,1125862009,980000.0,32.826479,-116.535849,91962,2026-04-22,3.0,3.0,2891.0,43995.6,219,1
3689000.0,1125861350,3400000.0,33.148221,-117.323229,92008,2026-04-27,3.0,4.0,3337.0,38768.0,185,1
450000.0,1125841762,445000.0,34.219417,-118.99004,93012,2026-04-14,2.0,2.0,1191.0,2613.0,94,1
397900.0,1125790371,395000.0,32.64233579,-116.275283,91905,2026-04-01,1.0,1.0,996.0,206910.0,155,1
