Model,PriceRank,RowCount,LogForm,R2 Score,MAPE,MdAPE
Linear Regression,Low,20417,False,0.7184975124390156,0.13215263873810554,0.07998885919447607
Linear Regression,Low-Medium,20416,False,0.19036282790722547,0.07424307825884,0.07071651532868434
Linear Regression,Medium,20412,False,0.18259955705658437,0.06319475779003247,0.057479821144138646
Linear Regression,Medium-High,20499,False,0.23221362355733255,0.08058203217014105,0.07162488764805536
Linear Regression,High,20327,False,0.6790014358686685,0.23378791189149126,0.18964621852675603
Linear Regression,Low,20417,True,1.0,7.241375647936983e-17,0.0
Linear Regression,Low-Medium,20416,True,1.0,5.976145873087183e-17,0.0
Linear Regression,Medium,20412,True,1.0,3.42855781796129e-17,0.0
Linear Regression,Medium-High,20499,True,1.0,5.952695121215353e-17,0.0
Linear Regression,High,20327,True,1.0,4.842073406764986e-17,0.0
Decision Tree Regressor,Low,20417,False,0.9992116088985855,0.001204281453381981,0.0
Decision Tree Regressor,Low-Medium,20416,False,0.9999806798777052,7.278283277891825e-05,0.0
Decision Tree Regressor,Medium,20412,False,0.99998724170743,5.9854572061259616e-05,0.0
Decision Tree Regressor,Medium-High,20499,False,0.9998288587375123,0.00017333909895386987,0.0
Decision Tree Regressor,High,20327,False,0.9853456254671308,0.0020494391188747635,0.0
Decision Tree Regressor,Low,20417,True,0.9988864769418122,0.0001070883297914052,1.3930790442919336e-16
Decision Tree Regressor,Low-Medium,20416,True,0.9999716215505235,6.09458646031874e-06,1.3351363434652356e-16
Decision Tree Regressor,Medium,20412,True,0.9999870173773074,4.208265804861679e-06,1.9336763197816926e-16
Decision Tree Regressor,Medium-High,20499,True,0.9997902623681207,1.2751882855026514e-05,2.5011767966958904e-16
Decision Tree Regressor,High,20327,True,0.9987608322905848,0.000140304510261569,2.4327043846362523e-16
Random Forest Regressor,Low,20417,False,0.9990945258969012,0.002031583989231519,0.0
Random Forest Regressor,Low-Medium,20416,False,0.9999847670800536,6.97933467684108e-05,0.0
Random Forest Regressor,Medium,20412,False,0.9999125451255189,0.00011193520087568951,0.0
Random Forest Regressor,Medium-High,20499,False,0.9997628569653784,0.00017356524590502752,0.0
Random Forest Regressor,High,20327,False,0.9846307890110408,0.0018356146068270094,7.03798319327479e-05
Random Forest Regressor,Low,20417,True,0.9991589065541899,0.00011360613313121709,1.6200640853917984e-09
Random Forest Regressor,Low-Medium,20416,True,0.9999827075273819,4.902605759667513e-06,2.2535878567782573e-15
Random Forest Regressor,Medium,20412,True,0.9996843962527866,1.2163010801228268e-05,1.9585273655878102e-15
Random Forest Regressor,Medium-High,20499,True,0.9997409891904281,1.2215713706851017e-05,2.0233839044025154e-15
Random Forest Regressor,High,20327,True,0.9990139496956709,0.0001157070995051376,4.54282568856945e-06
XGBoost,Low,20417,False,0.9989345425255567,0.004007503979275596,0.0013198717193147885
XGBoost,Low-Medium,20416,False,0.9985147600924968,0.0009184842494904572,6.12864077669903e-05
XGBoost,Medium,20412,False,0.9966657687367223,0.0010682594235909089,0.00027805434491173927
XGBoost,Medium-High,20499,False,0.9983699527081413,0.001351211319195664,0.0004438235294117647
XGBoost,High,20327,False,0.9648513630599752,0.005436754385202008,0.002637578347578348
XGBoost,Low,20417,True,0.9958400892816816,0.0004896807674931287,0.00018536538219961966
XGBoost,Low-Medium,20416,True,0.9985737230451806,8.273785882551761e-05,1.4773626079980288e-05
XGBoost,Medium,20412,True,0.996470285740063,8.22345175082247e-05,2.087249741583646e-05
XGBoost,Medium-High,20499,True,0.998547081246301,0.00010077804914126171,3.6348139433254735e-05
XGBoost,High,20327,True,0.9987001559987815,0.0003240962832130211,0.00013770697300732998
Gradient Boosting Regressor,Low,20417,False,0.9914781600938651,0.01276940744295454,0.006651773774859218
Gradient Boosting Regressor,Low-Medium,20416,False,0.9974184609808503,0.0029456405401975406,0.0017203568826816844
